10000,1000,500        0        0       0       0        0       0         0       0      0       0      0       0       0         0        0        1      3       1      1       0         0     0       0      0       0              6/25*15                   98.4             
1000,100,50               0        0       0        1       0        2        0       0      1       0       0      0        0        0       0         0     0        0       0      0       0       0       0      0       0                4/25*15                 0.989333333        
500,50,25                    0       0        3      2        3         3       0        0       4      2      0       1       0         0        1        0      0       1       0      0        0     0         3    1        0                24/25*15               0.936     
300,30,15                    1       3       3       4        2          5       1       0       4      1      3        2      3          1      5         3      3       1       0      0        1      0       2     1        3                50/25*15               0.866666666     
200,20,10                    2       4        4       1        4        5        1       2        0      3     2        4       6         1       5        1      2      0        0       0        1     1       0      1        5               55/25*15               0.85333333     
100,10,5                     2         3        3      4        2        4         0       3       1      2      1        2       4       0        5        6     0       0         2       2        3     3     2      3          2             59/25*15                0.84266666  
50,5,3                         0        3          3      3        5         0       2       3        5      1      2       2       4        3         2       5      0      0        3      2         1     1       0     0         3              53/25*15               0.858666667
10,1,1                         5          6        5      2        5         3       3       3       5       4       0      3       5        3        6       3       0       4      3       1         0     1       0     0         3              73 /25*15              0.805333333 
